"id","title","artist","date"
773,"Table and Fruit",null,"1909"
1165,"The New One","John B. Flannagan","1935"
1219,"Married Life","Roger de la Fresnaye","1912"
1229,"Toreador","Jacques Lipchitz","1914-1915"
1268,"Hopfgarten","Lyonel Feininger","1920"
1277,"Portrait of the Artist",null,"c. 1912-1914"
1353,"Seated Harlequin","Juan Gris","c. 1920"
1407,"The Bagpiper",null,"1910-1911"
1503,"The Spanish Playing Cards",null,"1920"
1633,"Female Figure","Jacob Epstein","1913"
5781,"Untitled","Paul Outerbridge, Jr.","1922"
10422,"Still Life","Juan Gris","1917"
10458,"Little Servant Girl","Amedeo Modigliani","c. 1916"
32615,"Constructed Head No.2","Naum Gabo","1916"
103800,"The Clockmaker (Der Uhrmacher/ L'horloger)","Ivan Vasilievich Kliun","c. 1914"
104486,"Sculpture 23","Rudolf Belling","1923"
106095,"Italian Town by the Sea","Alexandra Exter","c. 1917"
