"id","title","artist","date","room"
4079,"East Berlin","Thomas F. Arndt","1985","G264"
25606,"Untitled (Faith Mission on Hennepin Avenue, Minneapolis)","Mrs. Richard S. Wilcox, Jr.",null,"G264"
26153,"Untitled","Wayne Miller",null,"G264"
37274,"Carrefour, Blois, France",null,"1930","G264"
37285,"Policeman in a Dockland Alley, Bermondsey, London","Bill Brandt","1930s","G264"
100055,"Prayer Alley, Sucre, Bolivia","Esther Glaser Parada","1964-1966","G264"
102761,"Alley with Two Figures, Paris","Frederick B. Scheel","1972","G264"
117557,"Shinjuku","Yoshida T?shi","1938","G264"
117564,"Umbrella","Yoshida T?shi","1940","G264"
117612,"Hy?roku","Yoshida T?shi","1951","G264"
