"id","title","artist","date","room"
454,"Small Box with Butterflies",null,null,"G219"
455,"Small Box in the Shape of a Firefly Cage",null,null,"G219"
456,"Box",null,null,"G219"
465,"Small Box (Kobako) with Landscapes",null,null,"G219"
466,"Small Box in the shape of a Treasure Ship (Takarabune)",null,null,"G219"
2008,"Narihira Riding Below Fuji","Sakai Hōitsu","c. 1820","G219"
2380,"Round mirror with flying cranes surrounded by chrysanthemums",null,null,"G219"
3872,"Box with chrysanthemum design",null,"mid-16th century","G219"
8587,"Poetess Ono-no-Komachi","Kiyohara Yukinobu","mid 17th century","G219"
8607,"Two Quails With Reeds","Sumiyoshi Hirosada",null,"G219"
8635,"Events Throughout the Twelve Months of the Year","Tosa School","late17th - early 18th century","G219"
27956,"Ko-omote (Young Woman)","Ogura So_ei","1991","G219"
45402,"Writing box (suzuribako)","Hara Yo_yu_sai","early 19th century","G219"
59229,"Takatsuki, one of a pair","Nagata Yu_ji",null,"G219"
59236,"Takatsuki, one of a pair","Nagata Yu_ji",null,"G219"
91458,"Willow Bridge and Water Wheel (Uji Bridge)",null,null,"G219"
91460,"Willow Bridge and Water Wheel (Uji Bridge)",null,null,"G219"
95331,"Kasshiki","Yamaguchi Bidou","2004","G219"
95332,"Shichiguchi","Yamaguchi Bidou","2004","G219"
