"id","title","artist","date","room"
0,"Air, from the series The Four Elements","Dante Gabriel Rossetti","c.1888-89","G352"
0,"Air, from the series The Four Elements","Frederic James Shields","c.1888-89","G352"
0,"Air, from the series The Four Elements","Frederick G. Smith","c.1888-89","G352"
44,"The White Bridge","John Henry Twachtman","c. 1895","G323"
45,"Isles of Shoals","Childe Hassam","1899","G323"
47,"Marriage","Gari Melchers","1893","G302"
50,"Rest on the Flight into Egypt  and the Miraculous Field of Wheat","Joachim Patinir","c. 1518–24","G342"
51,"âArms of Libertyâ punch bowl",null,"c. 1770","G209"
53,"Deer in the Forest","Gustave Courbet","1868","G321"
54,"Mary Magdalene","Nikolaus Gerhaerts van Leyden","c. 1460","G342"
58,"Destruction of the Beast and the False Prophet","Benjamin West","1804","G321"
67,"Plate",null,"Kangxi period (1662-1722)","G218"
72,"Head of a Philosopher","Domenico Tiepolo","1750s–60s","G307"
76,"Portrait of James Ward","Gilbert Stuart","1779","G322"
77,"Luxembourg Gardens at Twilight","John Singer Sargent","1879","G351"
78,"Portrait of an Ecclesiastic","Giovanni Battista Moroni","late 1550s","G340"
84,"Portrait of John Scott Bradstreet","John S. Bradstreet","1915","G319"
84,"Portrait of John Scott Bradstreet","Paul Fjelde","1915","G319"
95,"Cartonnage of Lady Tashat",null,"945-712 BCE","G250"
97,"Coffin of Lady Tashat",null,"945-712 BCE","G250"
108,"Tobacco jar","Florence Willets","c. 1915","G320"
108,"Tobacco jar","Minneapolis Handicraft Guild","c. 1915","G320"
111,"Wedding chest (cassone)",null,null,"G343"
113,"Paperweight: Deer and Fungus Motif",null,null,"G210"
118,"Plate",null,null,"G204"
119,"Plate",null,"mid 10th-late 13th century","G204"
121,"Pitcher",null,null,"G243"
122,"Jug with Cloud Motif",null,"Fourth quarter of the 16th century","G243"
123,"Plate",null,null,"G243"
124,"Hexagonal Wall Tile",null,null,"G243"
129,"Place du ThÃ©Ã¢tre FranÃ§ais, Paris: Rain","Camille Pissarro","1898","G351"
131,"Figure of a bodhisattva",null,"571","G200"
135,"Fontainebleau Oaks","Jules Dupré","c. 1840","G321"
136,"Saint Catherine",null,"c. 1450–60","G340"
153,"Plate",null,"c. 1150","G204"
154,"Chakrasamvara and Vajravarahi Mandala",null,"1400-1500","G212"
156,"Imperial Ink Cake","Wang Chin-shen","1736-1795","G217"
163,"Figure of Wenchang, Deity of Literature",null,null,"G217"
164,"Brushwasher",null,null,"G208"
167,"Desk and bookcase","Meads and Alvord","c. 1832-1834","G332"
175,"Architectural model","Construct Studios","1998-1999","G300"
175,"Architectural model","Frank Lloyd Wright","1998-1999","G300"
178,"Tapa Cloth",null,"1800-1825","G256"
180,"Rendezvous","Allan Houser","1981","G259"
185,"Bowl",null,null,"G204"
186,"Covered Box",null,null,"G204"
191,"Portrait of the Artist Alphonse Legros","Henri Fantin-Latour","1856","G354"
197,"Caduceus",null,null,"G241"
198,"Red-Figure Hydria","the White Sakkos Painter","c. 320 BCE","G241"
205,"Ovoid Bottle",null,"late 12th century","G204"
206,"Female ""Long Sleeve"" Dancer",null,null,"G215"
207,"Almsbowl",null,"c. 1100","G215"
210,"Tiger Pillow",null,"late 12th century","G204"
211,"Bowl",null,null,"G204"
212,"Covered Bowl",null,null,"G204"
213,"Beehive-shaped Vase",null,null,"G204"
216,"Bottle Vase",null,null,"G204"
217,"Bottle",null,null,"G204"
250,"Cassone (chest)",null,null,"G330"
254,"Wall sconce, one of a pair",null,null,"G314"
256,"Cupboard",null,"c. 1580-1590","G325"
257,"Folding table",null,"1580-1620","G325"
258,"Armchair",null,"c. 1650","G325"
259,"Chair, one of a pair",null,"1650-1699","G325"
260,"Stool",null,"possibly late 16th century","G325"
263,"After the Reception","Douglas Volk","1887","G302"
264,"Table",null,"c. 1580-1600","G325"
265,"Andiron, one of a pair",null,null,"G325"
268,"Bench",null,"early 17th century","G325"
269,"Armchair",null,"late 16th century","G325"
270,"Dish",null,"late 18th century","G310"
272,"Bowl",null,"c. 1730","G319"
273,"Teapot","Wedgwood","c. 1780","G333"
278,"Christ Driving the Money Changers from the Temple","El Greco (Domenikos Theotokopoulos)","c. 1570","G341"
281,"Portrait of Robert Devereux, Second Earl of Essex","Marcus Gheeraerts the Younger","1599","G325"
281,"Portrait of Robert Devereux, Second Earl of Essex","Robert Devereux 2nd Earl of Essex","1599","G325"
285,"Chest of Drawers","Eliakim Smith","c. 1755","G331"
293,"Crouching Lion",null,"330-317 BCE","G241"
303,"Rainy Evening on Hennepin Avenue","Robert Koehler","c. 1902","G302"
308,"Plate","Sèvres Porcelain Factory","1810","G333"
310,"Plate from the ""Hope"" dinner service","John Pennington","1790","G333"
310,"Plate from the ""Hope"" dinner service","Worcester Porcelain Works (a.k.a. Royal Worcester Porcelain Company)","1790","G333"
314,"Bowl","Meissen Porcelain Factory","c. 1750","G324"
315,"Cup and saucer","Meissen Porcelain Factory","before 1756 (?)","G324"
316,"Cup and saucer","Meissen Porcelain Factory","c. 1750","G319"
320,"The Union of England and Scotland (Charles I as the Prince of Wales)","Peter Paul Rubens","1633–34","G313"
325,"Console table","Jean-Honoré Fragonard","c. 1775-1800","G310"
328,"Broad collar",null,"2040-1783 BCE","G254"
350,"Head of a Votary from the Temple of Golgoi",null,"600-500 BCE","G241"
351,"Votary Figure",null,"c. 470 BCE","G230"
352,"Vase",null,null,"G243"
353,"Perfume bottle",null,null,"G243"
356,"St. Anthony Falls as It Appeared in 1848","Henry Lewis","1855","G303"
368,"Tray",null,null,"G243"
376,"Shiva Nataraja (Lord of the Dance)",null,"ca. 1100","G211"
391,"Portrait of a Gentleman","Allan Ramsay","1745","G327"
392,"Portrait of a Lady","Allan Ramsay","c. 1744","G327"
395,"Walking Buddha",null,null,"G213"
397,"Tomb Guardian Figures",null,"early 6th century","G208"
415,"Dining table",null,"c. 1790-1800","G337"
420,"Mirror",null,"c. 1775","G332"
425,"Dressing table","The Garvan Carver","c. 1760–1780","G332"
427,"Highboy","Spikey Leaf Carver","c. 1760-1780","G332"
435,"Wall sconce",null,"c. 1800","G337"
441,"Fire tongs",null,"c. 1800","G337"
442,"Fire shovel",null,"c. 1800","G337"
443,"Jamb hook, one of a pair",null,null,"G337"
448,"Portrait of Diana Mary Barker","Benjamin West","1766","G326"
449,"Grave Stele",null,null,"G241"
452,"Catskill Mountain House","Jasper Francis Cropsey","1855","G323"
462,"Tea Bowl",null,null,"G204"
473,"Portrait of Commander Lewis Warrington","Rembrandt Peale","1801-1802","G322"
474,"Portrait of Lucy Hay (nÃ©e Percy), Countess of Carlisle","Adriaan Hanneman","c. 1660–65","G332"
486,"Portrait of George Washington","Thomas Sully","c. 1820","G332"
487,"Head of Aphrodite",null,null,"G241"
488,"Roman Matron",null,"60–70","G230"
489,"Storage Jar",null,"c. 2300 BCE","G204"
492,"Tankard","Peter van Dyck","c. 1710","G350"
493,"Pitcher","Jesse Churchill","c. 1810","G333"
497,"Bowl",null,null,"G243"
498,"Bowl",null,null,"G243"
499,"Bowl with Abstract Geometric Design",null,null,"G243"
500,"Bowl",null,null,"G243"
501,"Bowl",null,null,"G243"
511,"Li tripod",null,null,"G204"
512,"Lian (cosmetic box)",null,null,"G204"
513,"Ink tablet in the form of a turtle",null,null,"G201"
514,"Boshanlu censer",null,null,"G215"
515,"Model of a stove",null,null,"G215"
516,"The Rustic Bridge, ChÃ¢teau de MÃ©rÃ©ville, France","Hubert Robert","c. 1785","G306"
517,"The Harbor, Monhegan Coast, Maine","George Bellows","1913","G323"
518,"Awaiting the Chase","Unknown","c. 1650","G310"
519,"Women Hunting the Fox","Unknown","c. 1650","G310"
